Designators,Name,Value,Footprint,Manufacturer,MPN,SPN,Quantity
U19,,,e9e48ed637f3cdef,AT,AT32F403ARGT7,C8323,1
U20,,,d24f57ce334a6de8,TI(德州仪器),TLV2372IDR,C27204,1
U1,,,631cd99f2581d081,XLSEMI(芯龙),XL1509-5.0E1,C61063,1
C1,,47uF,874d8df9d5c37ab1,JIERR(捷而瑞),JVJ63V47M6x8,C46550423,1
D2,,,d8622fe44b880e10,R+O(宏嘉诚),SS34,C7420365,1
L1,,68uH,6b05aceae0f7cffe,Sunltech(顺磁),SLH0704S680MTT,C216200,1
C2,,220uF,a0f556fffe1fe1ff,JIERR(捷而瑞),JVJ25V220M6x8,C46550404,1
D1,,,d8622fe44b880e10,R+O(宏嘉诚),M7,C7420350,1
U2; U3,,,5a9f407351aeddc0,TOREX(特瑞仕),XC6206P332MR-G,C5446,2
C10; C17; C15; C12; C8; C5; C3; C26; C27; C28; C29; C35; C34; C36; C48; C52; C49; C53,,100nF,8d755adce2a8bbd4,HRE(芯声),CGA0603X7R104K500JT,C6119867,18
R1; R40,,0Ω,cebc5c753c676b27,UNI-ROYAL(厚声),0603WAF0000T5E,C21189,2
U4,,,14f22ceb1cdefabf,TECH PUBLIC(台舟),AP2112K-3.3TRG1,C23380830,1
U5,,,cd03690599c2e5c0,TOPPOWER(南京拓微),TP7660,C41413029,1
C13,,10uF,1d2b25856abdf778,Kyocera AVX,TAJA106K016RNJ,C7171,1
L4; L2; L3; L5,,,335719936dca4489,muRata(村田),BLM18AG601SN1D,C19330,4
C14; C16; C11; C7; C6; C4; C18; C20; C9; C19,,10uF,d4d2a4b99f798bec,SAMSUNG(三星),CL21A106KAYNNNE,C15850,10
R2; R6; R8; R10; R4,,5.1kΩ,8484e8472e30057e,UNI-ROYAL(厚声),1206W4F5101T5E,C26033,5
R12; R13; R14; R15; R16; R20; R21; R24,,2kΩ,9b1ba40a16109120,UNI-ROYAL(厚声),0603WAF2001T5E,C22975,8
