Designator,Pin,PinName,Net,Category,Description
U19,1,,,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,2,,MCU_GPIO_PC13_CS_W5500,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,3,,MCU_EXTI_PC14_INT_W5500,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,4,,MCU_GPIO_PC15_RST_W5500,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,5,,OSC_IN,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,6,,OSC_OUT,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,7,,$3N188,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,8,,MCU_PC0_ADC1_IN10,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,9,,MCU_PC1_ADC2_IN11,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,10,,MCU_GPIO_PC2_KEY_DOWN,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,11,,MCU_GPIO_PC3_KEY_LEFT,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,12,,GND,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,13,,3V3A,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,14,,MCU_GPIO_PA0_KEY_RIGHT,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,15,,MCU_GPIO_PA1_KEY_UP,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,16,,MCU_GPIO_PA2_LED_DATA,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,17,,MCU_PA3_EXTI3_DI5,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,18,,GND,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,19,,MCU_ANALOG_3V3,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,20,,MCU_PA4_EXTI4_DI4,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,21,,MCU_PA5_EXTI5_DI3,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,22,,MCU_PA6_EXTI6_DI2,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
