Designator,Pin,PinName,Net,Category,Description
R1,1,,$1N5039,电阻,电阻类型:厚膜电阻;阻值:10Ω;精度:±1%;功率:100mW;最大工作电压:75V;温度系数:±400ppm/℃;
R1,2,,$1N5038,电阻,电阻类型:厚膜电阻;阻值:10Ω;精度:±1%;功率:100mW;最大工作电压:75V;温度系数:±400ppm/℃;
R2,1,,GND,电阻,电阻类型:薄膜电阻;阻值:10kΩ;精度:±0.1%;功率:100mW;最大工作电压:75V;温度系数:±25ppm/℃;
R2,2,,$1N5041,电阻,电阻类型:薄膜电阻;阻值:10kΩ;精度:±0.1%;功率:100mW;最大工作电压:75V;温度系数:±25ppm/℃;
R3,1,,BLK,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
R3,2,,$1N5041,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
C1,1,,VCC,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C1,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C7,1,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C7,2,,VCC,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C8,1,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C8,2,,+5V,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
U2,1,,GND,IC/模块,输出类型:固定;最大输入电压:18V;输出电压:3.3V;最大输出电流:1A;输出极性:正极;
U2,2,,VCC,IC/模块,输出类型:固定;最大输入电压:18V;输出电压:3.3V;最大输出电流:1A;输出极性:正极;
U2,3,,+5V,IC/模块,输出类型:固定;最大输入电压:18V;输出电压:3.3V;最大输出电流:1A;输出极性:正极;
U2,4,,VCC,IC/模块,输出类型:固定;最大输入电压:18V;输出电压:3.3V;最大输出电流:1A;输出极性:正极;
C5,1,,GND,电容,容值:10uF;精度:±10%;额定电压:25V;材质(温度系数):X5R;
C5,2,,+5V,电容,容值:10uF;精度:±10%;额定电压:25V;材质(温度系数):X5R;
C6,1,,GND,电容,容值:10uF;精度:±10%;额定电压:25V;材质(温度系数):X5R;
C6,2,,VCC,电容,容值:10uF;精度:±10%;额定电压:25V;材质(温度系数):X5R;
R4,1,,GND,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
R4,2,,$1N5066,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
R5,1,,LED_DATA,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
R5,2,,$1N5067,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
R6,1,,LED_TEST,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
R6,2,,$1N5065,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
LED4,1,,$1N5066,其他,灯头类型:-;发光颜色:红色;正向压降(Vf):1.6V~2.6V;功率:65mW;正向电流:25mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:-;色温:-;发光强度:80mcd~220mcd;发光角度:130°;载带方式:-;工作温度:-30℃~+85℃;
LED4,2,,VCC,其他,灯头类型:-;发光颜色:红色;正向压降(Vf):1.6V~2.6V;功率:65mW;正向电流:25mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:-;色温:-;发光强度:80mcd~220mcd;发光角度:130°;载带方式:-;工作温度:-30℃~+85℃;
LED5,1,,$1N5067,其他,灯头类型:-;发光颜色:红色;正向压降(Vf):1.6V~2.6V;功率:65mW;正向电流:25mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:-;色温:-;发光强度:80mcd~220mcd;发光角度:130°;载带方式:-;工作温度:-30℃~+85℃;
LED5,2,,VCC,其他,灯头类型:-;发光颜色:红色;正向压降(Vf):1.6V~2.6V;功率:65mW;正向电流:25mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:-;色温:-;发光强度:80mcd~220mcd;发光角度:130°;载带方式:-;工作温度:-30℃~+85℃;
LED6,1,,$1N5065,其他,灯头类型:-;发光颜色:红色;正向压降(Vf):1.6V~2.6V;功率:65mW;正向电流:25mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:-;色温:-;发光强度:80mcd~220mcd;发光角度:130°;载带方式:-;工作温度:-30℃~+85℃;
LED6,2,,VCC,其他,灯头类型:-;发光颜色:红色;正向压降(Vf):1.6V~2.6V;功率:65mW;正向电流:25mA;波长:615nm~630nm;二极管配置:独立二极管;透镜颜色:-;色温:-;发光强度:80mcd~220mcd;发光角度:130°;载带方式:-;工作温度:-30℃~+85℃;
SW2,1,,KEY_MID,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW2,2,,KEY_MID,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW2,3,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW2,4,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
FPC2,1,,GND,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,2,,$1N5038,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,3,,VCC,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,4,,VCC,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,5,,GND,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,6,,GND,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,7,,DC,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,8,,GND,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,9,,PB13,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,10,,PB15,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,11,,PB12,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,12,,GND,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,13,,GND,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC2,14,,GND,其他,锁定特性:抽屉式;触点类型:上接;触点数量:12P;间距:0.5mm;安装类型:卧贴;
FPC3,1,,KEY_DOWN,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,2,,KEY_LEFT,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,3,,KEY_RIGHT,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,4,,KEY_UP,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,5,,LED_DATA,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,6,,LED_TEST,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,7,,PB12,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,8,,PB13,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,9,,PB15,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,10,,KEY_MID,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,11,,BLK,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,12,,DC,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,13,,I2C1_SDA,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,14,,I2C1_SCL,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,15,,GND,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,16,,+5V,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,17,,GND,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
FPC3,18,,GND,其他,锁定特性:翻盖式;触点类型:卧贴;触点数量:16P;间距:0.5mm;安装方式:下接;工作温度:-25℃~+85℃;
S1,1,,I2C1_SDA,其他,HDC1080 2% RH 低功耗数字相对湿度传感器
S1,2,,GND,其他,HDC1080 2% RH 低功耗数字相对湿度传感器
S1,3,,,其他,HDC1080 2% RH 低功耗数字相对湿度传感器
S1,4,,,其他,HDC1080 2% RH 低功耗数字相对湿度传感器
S1,5,,VCC,其他,HDC1080 2% RH 低功耗数字相对湿度传感器
S1,6,,I2C1_SCL,其他,HDC1080 2% RH 低功耗数字相对湿度传感器
S1,7,,GND,其他,HDC1080 2% RH 低功耗数字相对湿度传感器
R7,1,,VCC,电阻,电阻类型:薄膜电阻;阻值:10kΩ;精度:±0.1%;功率:100mW;最大工作电压:75V;温度系数:±25ppm/℃;
R7,2,,I2C1_SCL,电阻,电阻类型:薄膜电阻;阻值:10kΩ;精度:±0.1%;功率:100mW;最大工作电压:75V;温度系数:±25ppm/℃;
R8,1,,VCC,电阻,电阻类型:薄膜电阻;阻值:10kΩ;精度:±0.1%;功率:100mW;最大工作电压:75V;温度系数:±25ppm/℃;
R8,2,,I2C1_SDA,电阻,电阻类型:薄膜电阻;阻值:10kΩ;精度:±0.1%;功率:100mW;最大工作电压:75V;温度系数:±25ppm/℃;
C9,1,,VCC,电容,容值:10uF;精度:±10%;额定电压:25V;材质(温度系数):X5R;
C9,2,,GND,电容,容值:10uF;精度:±10%;额定电压:25V;材质(温度系数):X5R;
C10,1,,VCC,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C10,2,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
SW3,1,,KEY_DOWN,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW3,2,,KEY_DOWN,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW3,3,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW3,4,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW4,1,,KEY_RIGHT,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW4,2,,KEY_RIGHT,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW4,3,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
SW4,4,,GND,其他,电路结构:单刀单掷;按钮形状:圆形按钮;安装方式:立贴;开关长度:4.5mm;开关宽度:4.5mm;开关高度:3.8mm;触点电流:50mA;额定电压(DC):12V;带灯:-;机械寿命:-;
